PANID,WEEK,UNITs,OUTLET,DOLLARS,IRI_KEY,COLUPC,city,chain,*STUBSPEC 1440RC,VOL_EQ,PRODUCT TYPE,FLAVOR/SCENT,FORM,PACKAGE,BREWING METHOD,L5,brand,income,size,race
1100016,1403,2,GR,6,652159,12550080258,Pittsfield,2,        +FOLGR CLSRS GRND CFE       13OZ 0 1 25500 80258 1  1 0.8125RP   02763,1,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,3,3,1
1100016,1405,1,GR,5,652159,12550006321,Pittsfield,2,        +FOLGR SPLRS GRND CFE     34.5OZ 0 1 25500  6321 1  1 2.1563RP   02820,2,COFFEE,SPECIAL ROAST,GROUND,CAN,AUTOMATIC DRIP,FOLGERS,2,3,3,1
1100016,1425,1,GR,5,652159,14300070630,Pittsfield,2,        +MAXHS REG GRND CFE CAFEN   39OZ 0 1 43000 70630 1  1 2.4375RP   00154,2,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,3,3,1
1100032,1380,1,GR,2,266596,12550006319,Pittsfield,5,        +FOLGR SPLRS GRND CFE     11.5OZ 0 1 25500  6319 1  1 0.7188RP   02816,1,COFFEE,SPECIAL ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,6,2,1
1100032,1380,1,GR,2,266596,22550006279,Pittsfield,5,        +FOLGR BKFBL GRND CFE     11.5OZ 0 2 25500  6279 1  1 0.7188RP   02755,1,COFFEE,BREAKFAST BLEND,GROUND,CANISTER,ALL PURPOSE,FOLGERS,2,6,2,1
1100032,1380,1,GR,2,266596,32550082100,Pittsfield,5,        +FOLGR FRCHR GRND CFE     11.5OZ 0 3 25500 82100 1  1 0.7188RP   02788,1,COFFEE,FRENCH ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,6,2,1
1100057,,,,,,,,,,,,,,,,,,10,2,1
1100180,1375,3,GR,5,213290,32550082100,Pittsfield,1,        +FOLGR FRCHR GRND CFE     11.5OZ 0 3 25500 82100 1  1 0.7188RP   02788,1,COFFEE,FRENCH ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,11,2,1
1100180,1375,4,GR,8,652159,32550082100,Pittsfield,2,        +FOLGR FRCHR GRND CFE     11.5OZ 0 3 25500 82100 1  1 0.7188RP   02788,1,COFFEE,FRENCH ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,11,2,1
1100180,1396,1,GR,3,652159,14300075105,Pittsfield,2,        +MAXHS CSPME GRND CFE       11OZ 0 1 43000 75105 1  1 0.6875RP   00120,1,COFFEE,COLOMBIAN SUPREME,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,11,2,1
1100180,1419,1,GR,8,652159,12550080273,Pittsfield,2,        +FOLGR CLSRS GRND CFE       39OZ 0 1 25500 80273 1  1 2.4375RP   02768,2,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,11,2,1
1100180,1425,4,GR,13,213290,12550080258,Pittsfield,1,        +FOLGR CLSRS GRND CFE       13OZ 0 1 25500 80258 1  1 0.8125RP   02763,1,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,11,2,1
1100198,,,,,,,,,,,,,,,,,,5,2,1
1100214,,,,,,,,,,,,,,,,,,7,1,1
1100248,1396,2,GR,4,234140,24300070340,Pittsfield,2,        +MAXHS REG GRND CFE       11.5OZ 0 2 43000 70340 1  1 0.7188RP   00163,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,1,1,1
1100321,1419,1,GR,8,652159,12550080273,Pittsfield,2,        +FOLGR CLSRS GRND CFE       39OZ 0 1 25500 80273 1  1 2.4375RP   02768,2,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,3,1,1
1100354,,,,,,,,,,,,,,,,,,9,2,1
1100404,,,,,,,,,,,,,,,,,,11,2,1
1100479,1379,1,GR,3,248128,24300070130,Pittsfield,3,        +MAXHS REG GRND CFE CAFEN   13OZ 0 2 43000 70130 1  1 0.8125RP   00148,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,7,2,1
1100479,1389,1,GR,2,648764,24300070130,Other,,        +MAXHS REG GRND CFE CAFEN   13OZ 0 2 43000 70130 1  1 0.8125RP   00148,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,7,2,1
1100479,1389,1,GR,2,648764,24300070590,Other,,        +MSTBL SMTH GRND CFE      11.5OZ 0 2 43000 70590 1  1 0.7188RP   00190,1,COFFEE,MISSING,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE MASTER BLEND,1,7,2,1
1100479,1392,1,GR,2,652159,24300070590,Pittsfield,2,        +MSTBL SMTH GRND CFE      11.5OZ 0 2 43000 70590 1  1 0.7188RP   00190,1,COFFEE,MISSING,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE MASTER BLEND,1,7,2,1
1100479,1396,1,GR,2,652159,24300070590,Pittsfield,2,        +MSTBL SMTH GRND CFE      11.5OZ 0 2 43000 70590 1  1 0.7188RP   00190,1,COFFEE,MISSING,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE MASTER BLEND,1,7,2,1
1100479,1414,1,GR,3,652159,12550080258,Pittsfield,2,        +FOLGR CLSRS GRND CFE       13OZ 0 1 25500 80258 1  1 0.8125RP   02763,1,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,7,2,1
